ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,06:45,07:00,.044,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,07:00,07:15,.032,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,07:15,07:30,.305,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,07:30,07:45,.03,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,07:45,08:00,.057,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,08:00,08:15,.087,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,08:15,08:30,.125,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,08:30,08:45,.057,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,08:45,09:00,.042,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,09:00,09:15,.056,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,09:15,09:30,.044,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,09:30,09:45,.063,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,09:45,10:00,.108,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,10:00,10:15,.702,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,10:15,10:30,.066,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,10:30,10:45,.05,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,10:45,11:00,.058,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,11:00,11:15,.624,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,11:15,11:30,.425,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,11:30,11:45,.054,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,11:45,12:00,.14,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,12:00,12:15,.293,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,12:15,12:30,.863,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,12:30,12:45,.223,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,12:45,13:00,.935,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,13:00,13:15,.164,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,13:15,13:30,.949,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,13:30,13:45,.43,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,13:45,14:00,.534,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,14:00,14:15,.859,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,14:15,14:30,.408,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,14:30,14:45,.681,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,14:45,15:00,.762,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,15:00,15:15,.498,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,15:15,15:30,.941,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,15:30,15:45,.963,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,15:45,16:00,.946,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,16:00,16:15,.678,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,16:15,16:30,.767,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,16:30,16:45,.942,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,16:45,17:00,.648,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,17:00,17:15,.903,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,17:15,17:30,.983,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,17:30,17:45,.779,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,17:45,18:00,.726,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,18:00,18:15,.927,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,18:15,18:30,.91,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,18:30,18:45,.549,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,18:45,19:00,.723,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,19:00,19:15,.471,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,19:15,19:30,.488,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,19:30,19:45,.77,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,19:45,20:00,.205,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,20:00,20:15,.793,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,20:15,20:30,.207,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,20:30,20:45,.462,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,20:45,21:00,.667,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,21:00,21:15,.211,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,21:15,21:30,.487,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,21:30,21:45,.352,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,21:45,22:00,.444,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,22:00,22:15,.125,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,22:15,22:30,.595,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,22:30,22:45,.095,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,22:45,23:00,.85,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,23:00,23:15,.204,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,23:15,23:30,.055,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,23:30,23:45,.05,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,23:45,00:00,.047,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,00:00,00:15,.053,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,00:15,00:30,.039,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,00:30,00:45,.046,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,00:45,01:00,.037,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,01:00,01:15,.042,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,01:15,01:30,.043,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,01:30,01:45,.035,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,01:45,02:00,.047,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,02:00,02:15,.032,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,02:15,02:30,.047,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,02:30,02:45,.038,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,02:45,03:00,.04,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,03:00,03:15,.041,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,03:15,03:30,.037,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,03:30,03:45,.046,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,03:45,04:00,.034,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,04:00,04:15,.045,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,04:15,04:30,.04,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,04:30,04:45,.038,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,04:45,05:00,.046,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,05:00,05:15,.032,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,05:15,05:30,.047,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,05:30,05:45,.036,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,05:45,06:00,.042,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,06:00,06:15,.043,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,06:15,06:30,.035,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,06:30,06:45,.185,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,06:45,07:00,.493,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,07:00,07:15,.239,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,07:15,07:30,.04,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,07:30,07:45,.305,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,07:45,08:00,.046,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,08:00,08:15,.087,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,08:15,08:30,.385,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,08:30,08:45,.138,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,08:45,09:00,.226,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,09:00,09:15,.307,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,09:15,09:30,.046,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,09:30,09:45,.038,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,09:45,10:00,.305,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,10:00,10:15,.079,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,10:15,10:30,.283,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,10:30,10:45,.048,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,10:45,11:00,.044,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,11:00,11:15,.269,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,11:15,11:30,.61,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,11:30,11:45,.411,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,11:45,12:00,.332,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,12:00,12:15,.326,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,12:15,12:30,.322,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,12:30,12:45,.31,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,12:45,13:00,.352,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,13:00,13:15,.379,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,13:15,13:30,.471,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,13:30,13:45,.048,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,13:45,14:00,.375,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,14:00,14:15,.042,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,14:15,14:30,.349,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,14:30,14:45,.058,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,14:45,15:00,.552,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,15:00,15:15,.321,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,15:15,15:30,.328,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,15:30,15:45,.297,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,15:45,16:00,.073,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,16:00,16:15,.088,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,16:15,16:30,.277,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,16:30,16:45,.412,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,16:45,17:00,.357,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,17:00,17:15,.31,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,17:15,17:30,.337,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,17:30,17:45,.053,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,17:45,18:00,.312,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,18:00,18:15,.31,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,18:15,18:30,.232,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,18:30,18:45,.13,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,18:45,19:00,.301,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,19:00,19:15,.055,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,19:15,19:30,.299,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,19:30,19:45,.054,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,19:45,20:00,.304,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,20:00,20:15,.048,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,20:15,20:30,.306,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,20:30,20:45,.044,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,20:45,21:00,.054,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,21:00,21:15,.295,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,21:15,21:30,.055,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,21:30,21:45,.299,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,21:45,22:00,.051,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,22:00,22:15,.047,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,22:15,22:30,.308,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,22:30,22:45,.056,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,22:45,23:00,.045,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,23:00,23:15,.057,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,23:15,23:30,.068,A,Consumption
'1008901023808934750100,07/03/2021,07/03/2021 09:45:01,23:30,23:45,.332,A,Consumption
